"experiment","group","subject","age","sex","condition","trial_type","word","response"
1,"child","child_31",4.88,"male","Plausible","Exposure","book_table","Plausible"
1,"child","child_32",5.12,"male","Implausible","Exposure","book_table","Implausible"
1,"child","child_33",4.08,"female","Implausible","Exposure","book_table","Implausible"
1,"child","child_34",5.26,"female","Plausible","Exposure","book_table","Plausible"
1,"child","child_35",4.79,"female","Implausible","Exposure","book_table","Implausible"
1,"child","child_36",4.58,"female","Plausible","Exposure","book_table","Plausible"
1,"child","child_37",5.4,"female","Implausible","Exposure","book_table","Implausible"
1,"child","child_38",4.23,"female","Plausible","Exposure","book_table","Plausible"
1,"child","child_39",4.9,"female","Implausible","Exposure","book_table","Implausible"
1,"child","child_40",4.72,"female","Plausible","Exposure","book_table","Plausible"
1,"child","child_41",4.34,"female","Implausible","Exposure","book_table","Implausible"
1,"child","child_42",4.99,"male","Plausible","Exposure","book_table","Plausible"
1,"child","child_43",4.81,"male","Plausible","Exposure","book_table","Plausible"
1,"child","child_1",4.51,"female","Plausible","Exposure","shark_fish","Plausible"
1,"child","child_2",4.71,"male","Implausible","Exposure","shark_fish","Plausible"
1,"child","child_3",4.49,"male","Implausible","Exposure","shark_fish","Implausible"
1,"child","child_4",4.76,"female","Plausible","Exposure","shark_fish","Plausible"
1,"child","child_5",4.41,"female","Implausible","Exposure","shark_fish","Implausible"
1,"child","child_6",4.94,"male","Plausible","Exposure","shark_fish","Plausible"
1,"child","child_7",4.46,"female","Implausible","Exposure","shark_fish","Implausible"
1,"child","child_8",4.24,"female","Plausible","Exposure","shark_fish","Plausible"
1,"child","child_9",4.58,"male","Implausible","Exposure","shark_fish","Implausible"
1,"child","child_10",4.92,"female","Plausible","Exposure","shark_fish","Plausible"
1,"child","child_11",5.21,"male","Implausible","Exposure","shark_fish","Implausible"
1,"child","child_12",4.81,"male","Plausible","Exposure","shark_fish","Plausible"
1,"child","child_13",4.59,"male","Implausible","Exposure","shark_fish","Implausible"
1,"child","child_14",4.72,"female","Plausible","Exposure","shark_fish","Plausible"
1,"child","child_15",4.51,"male","Plausible","Exposure","shark_fish","Plausible"
1,"child","child_16",4.53,"female","Plausible","Exposure","shark_fish","Plausible"
1,"child","child_17",4.72,"male","Implausible","Exposure","shark_fish","Implausible"
1,"child","child_18",4.73,"male","Implausible","Exposure","shark_fish","Plausible"
1,"child","child_19",4.32,"male","Plausible","Exposure","shark_fish","Plausible"
1,"child","child_20",4.14,"male","Plausible","Exposure","shark_fish","Plausible"
1,"child","child_21",5.19,"female","Implausible","Exposure","shark_fish","Implausible"
1,"child","child_22",4.72,"male","Plausible","Exposure","shark_fish","Plausible"
1,"child","child_23",4.32,"male","Plausible","Exposure","shark_fish","Plausible"
1,"child","child_24",4.67,"male","Implausible","Exposure","shark_fish","Implausible"
1,"child","child_25",4.73,"male","Plausible","Exposure","shark_fish","Plausible"
1,"child","child_26",4.22,"female","Implausible","Exposure","shark_fish","Implausible"
1,"child","child_27",4.88,"female","Plausible","Exposure","shark_fish","Plausible"
1,"child","child_28",4.88,"female","Implausible","Exposure","shark_fish","Implausible"
1,"child","child_29",4,"female","Plausible","Exposure","shark_fish","Plausible"
1,"child","child_30",5.32,"male","Implausible","Exposure","shark_fish","Implausible"
1,"child","child_31",4.88,"male","Plausible","Exposure","shark_fish","Plausible"
1,"child","child_32",5.12,"male","Implausible","Exposure","shark_fish","Implausible"
1,"child","child_33",4.08,"female","Implausible","Exposure","shark_fish","Implausible"
1,"child","child_34",5.26,"female","Plausible","Exposure","shark_fish","Plausible"
1,"child","child_35",4.79,"female","Implausible","Exposure","shark_fish","Implausible"
1,"child","child_36",4.58,"female","Plausible","Exposure","shark_fish","Plausible"
1,"child","child_37",5.4,"female","Implausible","Exposure","shark_fish","Implausible"
1,"child","child_38",4.23,"female","Plausible","Exposure","shark_fish","Plausible"
1,"child","child_39",4.9,"female","Implausible","Exposure","shark_fish","Implausible"
1,"child","child_40",4.72,"female","Plausible","Exposure","shark_fish","Plausible"
1,"child","child_41",4.34,"female","Implausible","Exposure","shark_fish","Implausible"
1,"child","child_42",4.99,"male","Plausible","Exposure","shark_fish","Plausible"
1,"child","child_43",4.81,"male","Plausible","Exposure","shark_fish","Plausible"
1,"child","child_1",4.51,"female","Plausible","Exposure","wooden_blocks","Plausible"
1,"child","child_2",4.71,"male","Implausible","Exposure","wooden_blocks","Implausible"
1,"child","child_3",4.49,"male","Implausible","Exposure","wooden_blocks","Implausible"
1,"child","child_4",4.76,"female","Plausible","Exposure","wooden_blocks","Plausible"
1,"child","child_5",4.41,"female","Implausible","Exposure","wooden_blocks","Implausible"
1,"child","child_6",4.94,"male","Plausible","Exposure","wooden_blocks","Plausible"
1,"child","child_7",4.46,"female","Implausible","Exposure","wooden_blocks","Implausible"
1,"child","child_8",4.24,"female","Plausible","Exposure","wooden_blocks","Plausible"
1,"child","child_9",4.58,"male","Implausible","Exposure","wooden_blocks","Implausible"
1,"child","child_10",4.92,"female","Plausible","Exposure","wooden_blocks","Plausible"
1,"child","child_11",5.21,"male","Implausible","Exposure","wooden_blocks","Implausible"
1,"child","child_12",4.81,"male","Plausible","Exposure","wooden_blocks","Plausible"
1,"child","child_13",4.59,"male","Implausible","Exposure","wooden_blocks","Implausible"
1,"child","child_14",4.72,"female","Plausible","Exposure","wooden_blocks","Plausible"
1,"child","child_15",4.51,"male","Plausible","Exposure","wooden_blocks","Plausible"
1,"child","child_16",4.53,"female","Plausible","Exposure","wooden_blocks","Implausible"
1,"child","child_17",4.72,"male","Implausible","Exposure","wooden_blocks","Plausible"
1,"child","child_18",4.73,"male","Implausible","Exposure","wooden_blocks","Plausible"
1,"child","child_19",4.32,"male","Plausible","Exposure","wooden_blocks","Plausible"
1,"child","child_20",4.14,"male","Plausible","Exposure","wooden_blocks","Plausible"
1,"child","child_21",5.19,"female","Implausible","Exposure","wooden_blocks","Implausible"
1,"child","child_22",4.72,"male","Plausible","Exposure","wooden_blocks","Plausible"
1,"child","child_23",4.32,"male","Plausible","Exposure","wooden_blocks","Plausible"
1,"child","child_24",4.67,"male","Implausible","Exposure","wooden_blocks","Implausible"
1,"child","child_25",4.73,"male","Plausible","Exposure","wooden_blocks","Plausible"
1,"child","child_26",4.22,"female","Implausible","Exposure","wooden_blocks","Implausible"
1,"child","child_27",4.88,"female","Plausible","Exposure","wooden_blocks","Plausible"
1,"child","child_28",4.88,"female","Implausible","Exposure","wooden_blocks","Implausible"
1,"child","child_29",4,"female","Plausible","Exposure","wooden_blocks","Plausible"
1,"child","child_30",5.32,"male","Implausible","Exposure","wooden_blocks","Implausible"
1,"child","child_31",4.88,"male","Plausible","Exposure","wooden_blocks","Plausible"
1,"child","child_32",5.12,"male","Implausible","Exposure","wooden_blocks","Implausible"
1,"child","child_33",4.08,"female","Implausible","Exposure","wooden_blocks","Implausible"
1,"child","child_34",5.26,"female","Plausible","Exposure","wooden_blocks","Plausible"
1,"child","child_35",4.79,"female","Implausible","Exposure","wooden_blocks","Implausible"
1,"child","child_36",4.58,"female","Plausible","Exposure","wooden_blocks","Implausible"
1,"child","child_37",5.4,"female","Implausible","Exposure","wooden_blocks","Implausible"
1,"child","child_38",4.23,"female","Plausible","Exposure","wooden_blocks","Plausible"
1,"child","child_39",4.9,"female","Implausible","Exposure","wooden_blocks","Implausible"
1,"child","child_40",4.72,"female","Plausible","Exposure","wooden_blocks","Plausible"
1,"child","child_41",4.34,"female","Implausible","Exposure","wooden_blocks","Implausible"
1,"child","child_42",4.99,"male","Plausible","Exposure","wooden_blocks","Implausible"
1,"child","child_43",4.81,"male","Plausible","Exposure","wooden_blocks","Plausible"
1,"child","child_1",4.51,"female","Plausible","Exposure","flowers_basket","Plausible"
1,"child","child_2",4.71,"male","Implausible","Exposure","flowers_basket","Implausible"
1,"child","child_3",4.49,"male","Implausible","Exposure","flowers_basket","Implausible"
1,"child","child_4",4.76,"female","Plausible","Exposure","flowers_basket","Plausible"
1,"child","child_5",4.41,"female","Implausible","Exposure","flowers_basket","Implausible"
1,"child","child_6",4.94,"male","Plausible","Exposure","flowers_basket","Implausible"
1,"child","child_7",4.46,"female","Implausible","Exposure","flowers_basket","Plausible"
1,"child","child_8",4.24,"female","Plausible","Exposure","flowers_basket","Plausible"
1,"child","child_9",4.58,"male","Implausible","Exposure","flowers_basket","Implausible"
1,"child","child_10",4.92,"female","Plausible","Exposure","flowers_basket","Plausible"
1,"child","child_11",5.21,"male","Implausible","Exposure","flowers_basket","Implausible"
1,"child","child_12",4.81,"male","Plausible","Exposure","flowers_basket","Plausible"
1,"child","child_13",4.59,"male","Implausible","Exposure","flowers_basket","Implausible"
1,"child","child_14",4.72,"female","Plausible","Exposure","flowers_basket","Plausible"
1,"child","child_15",4.51,"male","Plausible","Exposure","flowers_basket","Plausible"
1,"child","child_16",4.53,"female","Plausible","Exposure","flowers_basket","Plausible"
1,"child","child_17",4.72,"male","Implausible","Exposure","flowers_basket","Implausible"
1,"child","child_18",4.73,"male","Implausible","Exposure","flowers_basket","Plausible"
1,"child","child_19",4.32,"male","Plausible","Exposure","flowers_basket","Plausible"
1,"child","child_20",4.14,"male","Plausible","Exposure","flowers_basket","Plausible"
1,"child","child_21",5.19,"female","Implausible","Exposure","flowers_basket","Implausible"
1,"child","child_22",4.72,"male","Plausible","Exposure","flowers_basket","Plausible"
1,"child","child_23",4.32,"male","Plausible","Exposure","flowers_basket","Plausible"
1,"child","child_24",4.67,"male","Implausible","Exposure","flowers_basket","Implausible"
1,"child","child_25",4.73,"male","Plausible","Exposure","flowers_basket","Plausible"
1,"child","child_26",4.22,"female","Implausible","Exposure","flowers_basket","Implausible"
1,"child","child_27",4.88,"female","Plausible","Exposure","flowers_basket","Plausible"
1,"child","child_28",4.88,"female","Implausible","Exposure","flowers_basket","Implausible"
1,"child","child_29",4,"female","Plausible","Exposure","flowers_basket","Plausible"
1,"child","child_30",5.32,"male","Implausible","Exposure","flowers_basket","Implausible"
1,"child","child_31",4.88,"male","Plausible","Exposure","flowers_basket","Plausible"
1,"child","child_32",5.12,"male","Implausible","Exposure","flowers_basket","Implausible"
1,"child","child_33",4.08,"female","Implausible","Exposure","flowers_basket","Implausible"
1,"child","child_34",5.26,"female","Plausible","Exposure","flowers_basket","Plausible"
1,"child","child_35",4.79,"female","Implausible","Exposure","flowers_basket","Implausible"
1,"child","child_36",4.58,"female","Plausible","Exposure","flowers_basket","Implausible"
1,"child","child_37",5.4,"female","Implausible","Exposure","flowers_basket","Implausible"
1,"child","child_38",4.23,"female","Plausible","Exposure","flowers_basket","Plausible"
1,"child","child_39",4.9,"female","Implausible","Exposure","flowers_basket","Plausible"
1,"child","child_40",4.72,"female","Plausible","Exposure","flowers_basket","Plausible"
1,"child","child_41",4.34,"female","Implausible","Exposure","flowers_basket","Plausible"
1,"child","child_42",4.99,"male","Plausible","Exposure","flowers_basket","Plausible"
1,"child","child_43",4.81,"male","Plausible","Exposure","flowers_basket","Plausible"
1,"child","child_1",4.51,"female","Plausible","Exposure","house_door","Plausible"
1,"child","child_2",4.71,"male","Implausible","Exposure","house_door","Plausible"
1,"child","child_3",4.49,"male","Implausible","Exposure","house_door","Implausible"
1,"child","child_4",4.76,"female","Plausible","Exposure","house_door","Plausible"
1,"child","child_5",4.41,"female","Implausible","Exposure","house_door","Implausible"
1,"child","child_6",4.94,"male","Plausible","Exposure","house_door","Plausible"
1,"child","child_7",4.46,"female","Implausible","Exposure","house_door","Plausible"
1,"child","child_8",4.24,"female","Plausible","Exposure","house_door","Plausible"
1,"child","child_9",4.58,"male","Implausible","Exposure","house_door","Implausible"
1,"child","child_10",4.92,"female","Plausible","Exposure","house_door","Plausible"
1,"child","child_11",5.21,"male","Implausible","Exposure","house_door","Implausible"
1,"child","child_12",4.81,"male","Plausible","Exposure","house_door","Plausible"
1,"child","child_13",4.59,"male","Implausible","Exposure","house_door","Plausible"
1,"child","child_14",4.72,"female","Plausible","Exposure","house_door","Plausible"
1,"child","child_15",4.51,"male","Plausible","Exposure","house_door","Plausible"
1,"child","child_16",4.53,"female","Plausible","Exposure","house_door","Plausible"
1,"child","child_17",4.72,"male","Implausible","Exposure","house_door","Implausible"
1,"child","child_18",4.73,"male","Implausible","Exposure","house_door","Implausible"
1,"child","child_19",4.32,"male","Plausible","Exposure","house_door","Plausible"
1,"child","child_20",4.14,"male","Plausible","Exposure","house_door","Plausible"
1,"child","child_21",5.19,"female","Implausible","Exposure","house_door","Implausible"
1,"child","child_22",4.72,"male","Plausible","Exposure","house_door","Plausible"
1,"child","child_23",4.32,"male","Plausible","Exposure","house_door","Plausible"
1,"child","child_24",4.67,"male","Implausible","Exposure","house_door","Implausible"
1,"child","child_25",4.73,"male","Plausible","Exposure","house_door","Implausible"
1,"child","child_26",4.22,"female","Implausible","Exposure","house_door","Plausible"
1,"child","child_27",4.88,"female","Plausible","Exposure","house_door","Plausible"
1,"child","child_28",4.88,"female","Implausible","Exposure","house_door","Implausible"
1,"child","child_29",4,"female","Plausible","Exposure","house_door","Plausible"
1,"child","child_30",5.32,"male","Implausible","Exposure","house_door","Implausible"
1,"child","child_31",4.88,"male","Plausible","Exposure","house_door","Plausible"
1,"child","child_32",5.12,"male","Implausible","Exposure","house_door","Plausible"
1,"child","child_33",4.08,"female","Implausible","Exposure","house_door","Implausible"
1,"child","child_34",5.26,"female","Plausible","Exposure","house_door","Plausible"
1,"child","child_35",4.79,"female","Implausible","Exposure","house_door","Implausible"
1,"child","child_36",4.58,"female","Plausible","Exposure","house_door","Plausible"
1,"child","child_37",5.4,"female","Implausible","Exposure","house_door","Implausible"
1,"child","child_38",4.23,"female","Plausible","Exposure","house_door","Plausible"
1,"child","child_39",4.9,"female","Implausible","Exposure","house_door","Implausible"
1,"child","child_40",4.72,"female","Plausible","Exposure","house_door","Plausible"
1,"child","child_41",4.34,"female","Implausible","Exposure","house_door","Plausible"
1,"child","child_42",4.99,"male","Plausible","Exposure","house_door","Implausible"
1,"child","child_43",4.81,"male","Plausible","Exposure","house_door","Plausible"
1,"child","child_1",4.51,"female","Plausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_2",4.71,"male","Implausible","Exposure","bread_peanutbutter","Implausible"
1,"child","child_3",4.49,"male","Implausible","Exposure","bread_peanutbutter","Implausible"
1,"child","child_4",4.76,"female","Plausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_5",4.41,"female","Implausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_6",4.94,"male","Plausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_7",4.46,"female","Implausible","Exposure","bread_peanutbutter","Implausible"
1,"child","child_8",4.24,"female","Plausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_9",4.58,"male","Implausible","Exposure","bread_peanutbutter","Implausible"
1,"child","child_10",4.92,"female","Plausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_11",5.21,"male","Implausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_12",4.81,"male","Plausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_13",4.59,"male","Implausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_14",4.72,"female","Plausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_15",4.51,"male","Plausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_16",4.53,"female","Plausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_17",4.72,"male","Implausible","Exposure","bread_peanutbutter","Implausible"
1,"child","child_18",4.73,"male","Implausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_19",4.32,"male","Plausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_20",4.14,"male","Plausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_21",5.19,"female","Implausible","Exposure","bread_peanutbutter","Implausible"
1,"child","child_22",4.72,"male","Plausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_23",4.32,"male","Plausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_24",4.67,"male","Implausible","Exposure","bread_peanutbutter","Implausible"
1,"child","child_25",4.73,"male","Plausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_26",4.22,"female","Implausible","Exposure","bread_peanutbutter","Implausible"
1,"child","child_27",4.88,"female","Plausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_28",4.88,"female","Implausible","Exposure","bread_peanutbutter","Implausible"
1,"child","child_29",4,"female","Plausible","Exposure","bread_peanutbutter","Implausible"
1,"child","child_30",5.32,"male","Implausible","Exposure","bread_peanutbutter","Implausible"
1,"child","child_31",4.88,"male","Plausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_32",5.12,"male","Implausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_33",4.08,"female","Implausible","Exposure","bread_peanutbutter","Implausible"
1,"child","child_34",5.26,"female","Plausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_35",4.79,"female","Implausible","Exposure","bread_peanutbutter","Implausible"
1,"child","child_36",4.58,"female","Plausible","Exposure","bread_peanutbutter","Implausible"
1,"child","child_37",5.4,"female","Implausible","Exposure","bread_peanutbutter","Implausible"
1,"child","child_38",4.23,"female","Plausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_39",4.9,"female","Implausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_40",4.72,"female","Plausible","Exposure","bread_peanutbutter","Implausible"
1,"child","child_41",4.34,"female","Implausible","Exposure","bread_peanutbutter","Implausible"
1,"child","child_42",4.99,"male","Plausible","Exposure","bread_peanutbutter","Plausible"
1,"child","child_43",4.81,"male","Plausible","Exposure","bread_peanutbutter","Implausible"
1,"child","child_1",4.51,"female","Plausible","Exposure","knife_fork","Plausible"
1,"child","child_2",4.71,"male","Implausible","Exposure","knife_fork","Implausible"
1,"child","child_3",4.49,"male","Implausible","Exposure","knife_fork","Implausible"
1,"child","child_4",4.76,"female","Plausible","Exposure","knife_fork","Plausible"
1,"child","child_5",4.41,"female","Implausible","Exposure","knife_fork","Implausible"
1,"child","child_6",4.94,"male","Plausible","Exposure","knife_fork","Plausible"
1,"child","child_7",4.46,"female","Implausible","Exposure","knife_fork","Implausible"
1,"child","child_8",4.24,"female","Plausible","Exposure","knife_fork","Plausible"
1,"child","child_9",4.58,"male","Implausible","Exposure","knife_fork","Implausible"
1,"child","child_10",4.92,"female","Plausible","Exposure","knife_fork","Plausible"
1,"child","child_11",5.21,"male","Implausible","Exposure","knife_fork","Implausible"
1,"child","child_12",4.81,"male","Plausible","Exposure","knife_fork","Plausible"
1,"child","child_13",4.59,"male","Implausible","Exposure","knife_fork","Plausible"
1,"child","child_14",4.72,"female","Plausible","Exposure","knife_fork","Plausible"
1,"child","child_15",4.51,"male","Plausible","Exposure","knife_fork","Plausible"
1,"child","child_16",4.53,"female","Plausible","Exposure","knife_fork","Implausible"
1,"child","child_17",4.72,"male","Implausible","Exposure","knife_fork","Plausible"
1,"child","child_18",4.73,"male","Implausible","Exposure","knife_fork","Implausible"
1,"child","child_19",4.32,"male","Plausible","Exposure","knife_fork","Plausible"
1,"child","child_20",4.14,"male","Plausible","Exposure","knife_fork","Plausible"
1,"child","child_21",5.19,"female","Implausible","Exposure","knife_fork","Implausible"
1,"child","child_22",4.72,"male","Plausible","Exposure","knife_fork","Plausible"
1,"child","child_23",4.32,"male","Plausible","Exposure","knife_fork","Plausible"
1,"child","child_24",4.67,"male","Implausible","Exposure","knife_fork","Implausible"
1,"child","child_25",4.73,"male","Plausible","Exposure","knife_fork","Plausible"
1,"child","child_26",4.22,"female","Implausible","Exposure","knife_fork","Implausible"
1,"child","child_27",4.88,"female","Plausible","Exposure","knife_fork","Plausible"
1,"child","child_28",4.88,"female","Implausible","Exposure","knife_fork","Implausible"
1,"child","child_29",4,"female","Plausible","Exposure","knife_fork","Plausible"
1,"child","child_30",5.32,"male","Implausible","Exposure","knife_fork","Implausible"
1,"child","child_31",4.88,"male","Plausible","Exposure","knife_fork","Plausible"
1,"child","child_32",5.12,"male","Implausible","Exposure","knife_fork","Plausible"
1,"child","child_33",4.08,"female","Implausible","Exposure","knife_fork","Implausible"
1,"child","child_34",5.26,"female","Plausible","Exposure","knife_fork","Plausible"
1,"child","child_35",4.79,"female","Implausible","Exposure","knife_fork","Plausible"
1,"child","child_36",4.58,"female","Plausible","Exposure","knife_fork","Plausible"
1,"child","child_37",5.4,"female","Implausible","Exposure","knife_fork","Plausible"
1,"child","child_38",4.23,"female","Plausible","Exposure","knife_fork","Plausible"
1,"child","child_39",4.9,"female","Implausible","Exposure","knife_fork","Implausible"
1,"child","child_40",4.72,"female","Plausible","Exposure","knife_fork","Plausible"
1,"child","child_41",4.34,"female","Implausible","Exposure","knife_fork","Implausible"
1,"child","child_42",4.99,"male","Plausible","Exposure","knife_fork","Plausible"
1,"child","child_43",4.81,"male","Plausible","Exposure","knife_fork","Plausible"
1,"child","child_1",4.51,"female","Plausible","Test","bugs","Plausible"
1,"child","child_2",4.71,"male","Implausible","Test","bugs","Plausible"
1,"child","child_3",4.49,"male","Implausible","Test","bugs","Implausible"
1,"child","child_4",4.76,"female","Plausible","Test","bugs","Plausible"
1,"child","child_5",4.41,"female","Implausible","Test","bugs","Implausible"
1,"child","child_6",4.94,"male","Plausible","Test","bugs","Implausible"
1,"child","child_7",4.46,"female","Implausible","Test","bugs","Implausible"
1,"child","child_8",4.24,"female","Plausible","Test","bugs","Plausible"
1,"child","child_9",4.58,"male","Implausible","Test","bugs","Plausible"
1,"child","child_10",4.92,"female","Plausible","Test","bugs","Plausible"
1,"child","child_11",5.21,"male","Implausible","Test","bugs","Plausible"
1,"child","child_12",4.81,"male","Plausible","Test","bugs","Plausible"
1,"child","child_13",4.59,"male","Implausible","Test","bugs","Implausible"
1,"child","child_14",4.72,"female","Plausible","Test","bugs","Implausible"
1,"child","child_15",4.51,"male","Plausible","Test","bugs","Implausible"
1,"child","child_16",4.53,"female","Plausible","Test","bugs","Implausible"
1,"child","child_17",4.72,"male","Implausible","Test","bugs","Implausible"
1,"child","child_18",4.73,"male","Implausible","Test","bugs","Plausible"
1,"child","child_19",4.32,"male","Plausible","Test","bugs","Plausible"
1,"child","child_20",4.14,"male","Plausible","Test","bugs","Implausible"
1,"child","child_21",5.19,"female","Implausible","Test","bugs","Implausible"
